alpha	T_K
0	335.75139
0.0101	344.70349
0.0202	352.11733
0.0303	358.21251
0.0404	363.18576
0.05051	367.21257
0.06061	370.44876
0.07071	373.03199
0.08081	375.08319
0.09091	376.70791
0.10101	377.9976
0.11111	379.03088
0.12121	379.87464
0.13131	380.5852
0.14141	381.2093
0.15152	381.78512
0.16162	382.34317
0.17172	382.90715
0.18182	383.4948
0.19192	384.11861
0.20202	384.78657
0.21212	385.50277
0.22222	386.26805
0.23232	387.08055
0.24242	387.93621
0.25253	388.82923
0.26263	389.75254
0.27273	390.69814
0.28283	391.65747
0.29293	392.62172
0.30303	393.58208
0.31313	394.53002
0.32323	395.45744
0.33333	396.35689
0.34343	397.22171
0.35354	398.04611
0.36364	398.82528
0.37374	399.55548
0.38384	400.23402
0.39394	400.85933
0.40404	401.43094
0.41414	401.94945
0.42424	402.4165
0.43434	402.83469
0.44444	403.20757
0.45455	403.53947
0.46465	403.8355
0.47475	404.10137
0.48485	404.34331
0.49495	404.56797
0.50505	404.78225
0.51515	404.99323
0.52525	405.20799
0.53535	405.43351
0.54545	405.67653
0.55556	405.94344
0.56566	406.24015
0.57576	406.57195
0.58586	406.94347
0.59596	407.35851
0.60606	407.81998
0.61616	408.32986
0.62626	408.88907
0.63636	409.49748
0.64646	410.15385
0.65657	410.85583
0.66667	411.59997
0.67677	412.38176
0.68687	413.19564
0.69697	414.03515
0.70707	414.89295
0.71717	415.76102
0.72727	416.63081
0.73737	417.49338
0.74747	418.33969
0.75758	419.16083
0.76768	419.94831
0.77778	420.69439
0.78788	421.39246
0.79798	422.03746
0.80808	422.62629
0.81818	423.15836
0.82828	423.63608
0.83838	424.06548
0.84848	424.45682
0.85859	424.8253
0.86869	425.19179
0.87879	425.58357
0.88889	426.03525
0.89899	426.58961
0.90909	427.29857
0.91919	428.22422
0.92929	429.43987
0.93939	431.03119
0.94949	433.09744
0.9596	435.75269
0.9697	439.12718
0.9798	443.36872
0.9899	448.64415
1	455.14088
