alpha	T_K
0	349.45743
0.0101	358.94418
0.0202	366.77665
0.0303	373.1939
0.0404	378.40985
0.05051	382.6151
0.06061	385.97868
0.07071	388.64967
0.08081	390.75885
0.09091	392.42011
0.10101	393.73195
0.11111	394.77883
0.12121	395.63242
0.13131	396.35282
0.14141	396.98974
0.15152	397.58354
0.16162	398.16627
0.17172	398.76261
0.18182	399.39076
0.19192	400.06328
0.20202	400.78787
0.21212	401.56807
0.22222	402.40392
0.23232	403.29262
0.24242	404.22903
0.25253	405.20622
0.26263	406.21594
0.27273	407.249
0.28283	408.29569
0.29293	409.34611
0.30303	410.39044
0.31313	411.4192
0.32323	412.42351
0.33333	413.39523
0.34343	414.32713
0.35354	415.21301
0.36364	416.0478
0.37374	416.8276
0.38384	417.54975
0.39394	418.2128
0.40404	418.81656
0.41414	419.362
0.42424	419.85126
0.43434	420.28755
0.44444	420.67507
0.45455	421.01893
0.46465	421.32503
0.47475	421.59994
0.48485	421.85077
0.49495	422.08505
0.50505	422.31057
0.51515	422.53526
0.52525	422.76701
0.53535	423.01357
0.54545	423.28239
0.55556	423.58045
0.56566	423.91417
0.57576	424.28928
0.58586	424.71065
0.59596	425.18226
0.60606	425.70704
0.61616	426.28682
0.62626	426.92226
0.63636	427.61282
0.64646	428.35668
0.65657	429.1508
0.66667	429.99088
0.67677	430.87142
0.68687	431.78581
0.69697	432.72638
0.70707	433.68457
0.71717	434.65105
0.72727	435.61591
0.73737	436.56893
0.74747	437.49976
0.75758	438.39832
0.76768	439.25504
0.77778	440.06132
0.78788	440.80991
0.79798	441.49538
0.80808	442.11468
0.81818	442.66766
0.82828	443.15771
0.83838	443.59243
0.84848	443.98436
0.85859	444.35174
0.86869	444.71936
0.87879	445.11948
0.88889	445.59273
0.89899	446.18921
0.90909	446.9695
0.91919	448.00589
0.92929	449.38351
0.93939	451.20173
0.94949	453.57541
0.9596	456.63642
0.9697	460.53513
0.9798	465.44198
0.9899	471.54915
1	479.07233
