alpha	T_K
0.005	425.75119
0.015	446.99652
0.025	453.83889
0.035	458.74996
0.045	462.66699
0.055	465.95314
0.065	468.79944
0.075	471.3221
0.085	473.59616
0.095	475.67263
0.105	477.58772
0.115	479.3695
0.125	481.03821
0.135	482.61061
0.145	484.09989
0.155	485.51764
0.165	486.87253
0.175	488.17171
0.185	489.42223
0.195	490.62912
0.205	491.79686
0.215	492.92945
0.225	494.0303
0.235	495.1025
0.245	496.14861
0.255	497.17173
0.265	498.17367
0.275	499.1569
0.285	500.12329
0.295	501.07386
0.305	502.00998
0.315	502.93356
0.325	503.846
0.335	504.7478
0.345	505.63996
0.355	506.52427
0.365	507.40156
0.375	508.27221
0.385	509.13778
0.395	509.99839
0.405	510.85478
0.415	511.70777
0.425	512.55848
0.435	513.40693
0.445	514.25468
0.455	515.10173
0.465	515.949
0.475	516.79676
0.485	517.64647
0.495	518.4979
0.505	519.35221
0.515	520.20964
0.525	521.07157
0.535	521.93738
0.545	522.80796
0.555	523.68437
0.565	524.56667
0.575	525.45588
0.585	526.352
0.595	527.2562
0.605	528.16832
0.615	529.08987
0.625	530.02066
0.635	530.96211
0.645	531.9145
0.655	532.87872
0.665	533.85595
0.675	534.84669
0.685	535.85153
0.695	536.87191
0.705	537.90863
0.715	538.96355
0.725	540.03682
0.735	541.13064
0.745	542.24609
0.755	543.38465
0.765	544.5478
0.775	545.73724
0.785	546.9547
0.795	548.20262
0.805	549.4832
0.815	550.80016
0.825	552.15648
0.835	553.55623
0.845	555.00397
0.855	556.50425
0.865	558.06231
0.875	559.6858
0.885	561.38212
0.895	563.16008
0.905	565.02989
0.915	567.00353
0.925	569.0944
0.935	571.32101
0.945	573.70667
0.955	576.28684
0.965	579.12583
0.975	582.35179
0.985	586.28864
0.995	592.39224
