alpha	T_K
0.005	378.28446
0.015	390.35435
0.025	396.43158
0.035	400.56447
0.045	403.65033
0.055	406.09492
0.065	408.11566
0.075	409.83052
0.085	411.31554
0.095	412.62301
0.105	413.78743
0.115	414.83429
0.125	415.7848
0.135	416.65327
0.145	417.45303
0.155	418.19287
0.165	418.88062
0.175	419.52478
0.185	420.13075
0.195	420.70629
0.205	421.25645
0.215	421.78699
0.225	422.30279
0.235	422.80729
0.245	423.30212
0.255	423.78913
0.265	424.26996
0.275	424.745
0.285	425.21455
0.295	425.6797
0.305	426.14016
0.315	426.59668
0.325	427.04998
0.335	427.50041
0.345	427.94819
0.355	428.39329
0.365	428.83616
0.375	429.2773
0.385	429.71688
0.395	430.15551
0.405	430.59282
0.415	431.02994
0.425	431.46638
0.435	431.90252
0.445	432.33901
0.455	432.77597
0.465	433.21321
0.475	433.65102
0.485	434.09001
0.495	434.52976
0.505	434.97096
0.515	435.41371
0.525	435.85826
0.535	436.30472
0.545	436.75368
0.555	437.20533
0.565	437.66037
0.575	438.11887
0.585	438.58125
0.595	439.04788
0.605	439.51958
0.615	439.99634
0.625	440.4793
0.635	440.96871
0.645	441.46485
0.655	441.96869
0.665	442.48059
0.675	443.00189
0.685	443.53301
0.695	444.07453
0.705	444.62769
0.715	445.1939
0.725	445.77326
0.735	446.36791
0.745	446.97905
0.755	447.60787
0.765	448.25646
0.775	448.92656
0.785	449.62053
0.795	450.3405
0.805	451.08969
0.815	451.87156
0.825	452.68833
0.835	453.54422
0.845	454.44362
0.855	455.3914
0.865	456.39381
0.875	457.45767
0.885	458.59217
0.895	459.80681
0.905	461.11599
0.915	462.53697
0.925	464.09316
0.935	465.81153
0.945	467.72964
0.955	469.90215
0.965	472.41936
0.975	475.44493
0.985	479.40506
0.995	486.05733
