alpha	T_K
0.005	388.97468
0.015	404.09218
0.025	410.46785
0.035	414.5206
0.045	417.46794
0.055	419.77305
0.065	421.65697
0.075	423.24428
0.085	424.61239
0.095	425.81326
0.105	426.88847
0.115	427.86996
0.125	428.78371
0.135	429.64873
0.145	430.47636
0.155	431.27354
0.165	432.0448
0.175	432.79292
0.185	433.5202
0.195	434.22856
0.205	434.91993
0.215	435.59602
0.225	436.25803
0.235	436.90723
0.245	437.54462
0.255	438.17097
0.265	438.78753
0.275	439.39504
0.285	439.99396
0.295	440.58529
0.305	441.16957
0.315	441.74761
0.325	442.31957
0.335	442.8862
0.345	443.44811
0.355	444.00559
0.365	444.55942
0.375	445.10987
0.385	445.65736
0.395	446.20214
0.405	446.74486
0.415	447.28593
0.425	447.82536
0.435	448.36363
0.445	448.90122
0.455	449.43846
0.465	449.9756
0.475	450.51281
0.485	451.0501
0.495	451.58824
0.505	452.12734
0.515	452.66756
0.525	453.20953
0.535	453.75321
0.545	454.29911
0.555	454.84752
0.565	455.39891
0.575	455.95379
0.585	456.51233
0.595	457.07515
0.605	457.64301
0.615	458.21636
0.625	458.79572
0.635	459.38161
0.645	459.9746
0.655	460.57551
0.665	461.1853
0.675	461.80433
0.685	462.43379
0.695	463.07449
0.705	463.72753
0.715	464.39392
0.725	465.07468
0.735	465.77133
0.745	466.48537
0.755	467.21781
0.765	467.97095
0.775	468.74643
0.785	469.54662
0.795	470.37331
0.805	471.22949
0.815	472.11826
0.825	473.04272
0.835	474.007
0.845	475.01462
0.855	476.07175
0.865	477.18422
0.875	478.35865
0.885	479.60375
0.895	480.92957
0.905	482.34913
0.915	483.88009
0.925	485.54418
0.935	487.37187
0.945	489.40516
0.955	491.71289
0.965	494.40574
0.975	497.69498
0.985	502.03848
0.995	508.96546
