alpha	T_K
0.005	429.57858
0.015	442.14318
0.025	446.66021
0.035	450.1429
0.045	453.05121
0.055	455.57362
0.065	457.81868
0.075	459.85192
0.085	461.71645
0.095	463.44394
0.105	465.05718
0.115	466.57409
0.125	468.0088
0.135	469.37142
0.145	470.67089
0.155	471.91411
0.165	473.10729
0.175	474.25603
0.185	475.36444
0.195	476.43707
0.205	477.47743
0.215	478.48787
0.225	479.47188
0.235	480.43139
0.245	481.36867
0.255	482.28607
0.265	483.18503
0.275	484.06738
0.285	484.93462
0.295	485.78723
0.305	486.62739
0.315	487.45614
0.325	488.27386
0.335	489.0822
0.345	489.88183
0.355	490.67401
0.365	491.45864
0.375	492.23708
0.385	493.01013
0.395	493.77814
0.405	494.54211
0.415	495.30259
0.425	496.05973
0.435	496.81447
0.445	497.5677
0.455	498.31968
0.465	499.07045
0.475	499.82112
0.485	500.57153
0.495	501.32307
0.505	502.07522
0.515	502.82923
0.525	503.58507
0.535	504.34346
0.545	505.10447
0.555	505.86922
0.565	506.63807
0.575	507.41071
0.585	508.18878
0.595	508.97291
0.605	509.76316
0.615	510.56043
0.625	511.36615
0.635	512.18033
0.645	513.00518
0.655	513.84017
0.665	514.68696
0.675	515.54594
0.685	516.41927
0.695	517.30738
0.705	518.21147
0.715	519.13305
0.725	520.07339
0.735	521.03406
0.745	522.01679
0.755	523.02296
0.765	524.05461
0.775	525.11379
0.785	526.20291
0.795	527.32406
0.805	528.48034
0.815	529.67531
0.825	530.91223
0.835	532.19508
0.845	533.5294
0.855	534.92055
0.865	536.3755
0.875	537.90188
0.885	539.50982
0.895	541.20991
0.905	543.01487
0.915	544.93902
0.925	546.99948
0.935	549.21493
0.945	551.61091
0.955	554.21942
0.965	557.0964
0.975	560.34943
0.985	564.26424
0.995	570.19437
