alpha	T_K
0.005	409.84479
0.015	427.3525
0.025	433.15294
0.035	436.72095
0.045	439.41582
0.055	441.69953
0.065	443.72759
0.075	445.5673
0.085	447.25928
0.095	448.82955
0.105	450.29955
0.115	451.68514
0.125	452.99678
0.135	454.24459
0.145	455.43602
0.155	456.57779
0.165	457.67498
0.175	458.73222
0.185	459.75349
0.195	460.74232
0.205	461.70153
0.215	462.63421
0.225	463.54255
0.235	464.42873
0.245	465.29431
0.255	466.14157
0.265	466.97157
0.275	467.78583
0.285	468.58572
0.295	469.37228
0.305	470.14713
0.315	470.91071
0.325	471.66454
0.335	472.40906
0.345	473.14543
0.355	473.87393
0.365	474.59611
0.375	475.31187
0.385	476.02211
0.395	476.72774
0.405	477.42875
0.415	478.12655
0.425	478.82105
0.435	479.51295
0.445	480.2032
0.455	480.89145
0.465	481.57852
0.475	482.26512
0.485	482.95074
0.495	483.63715
0.505	484.32392
0.515	485.01193
0.525	485.70117
0.535	486.39199
0.545	487.08501
0.555	487.78096
0.565	488.48001
0.575	489.18264
0.585	489.88973
0.595	490.60193
0.605	491.31986
0.615	492.04403
0.625	492.77575
0.635	493.51502
0.645	494.26371
0.655	495.02224
0.665	495.79136
0.675	496.57235
0.685	497.36587
0.695	498.1735
0.705	498.99622
0.715	499.83518
0.725	500.69213
0.735	501.56812
0.745	502.46535
0.755	503.38505
0.765	504.32965
0.775	505.30082
0.785	506.30117
0.795	507.33318
0.805	508.39994
0.815	509.50447
0.825	510.65103
0.835	511.84341
0.845	513.08659
0.855	514.38663
0.865	515.75093
0.875	517.18843
0.885	518.70888
0.895	520.32475
0.905	522.05151
0.915	523.90821
0.925	525.9173
0.935	528.10638
0.945	530.5102
0.955	533.1686
0.965	536.1439
0.975	539.54531
0.985	543.66575
0.995	550.04196
