alpha	T_K
0	320.72115
0.0101	329.84352
0.0202	336.50349
0.0303	341.27842
0.0404	344.64075
0.05051	346.9724
0.06061	348.57783
0.07071	349.69564
0.08081	350.50892
0.09091	351.15448
0.10101	351.73088
0.11111	352.30561
0.12121	352.92125
0.13131	353.60083
0.14141	354.35248
0.15152	355.17329
0.16162	356.05268
0.17172	356.97509
0.18182	357.92222
0.19192	358.87488
0.20202	359.81434
0.21212	360.72342
0.22222	361.58725
0.23232	362.39375
0.24242	363.13396
0.25253	363.8021
0.26263	364.3955
0.27273	364.91448
0.28283	365.36204
0.29293	365.74353
0.30303	366.06626
0.31313	366.33906
0.32323	366.57188
0.33333	366.77529
0.34343	366.96017
0.35354	367.1372
0.36364	367.31657
0.37374	367.50766
0.38384	367.71873
0.39394	367.95675
0.40404	368.22717
0.41414	368.53389
0.42424	368.87913
0.43434	369.26343
0.44444	369.68575
0.45455	370.14351
0.46465	370.63273
0.47475	371.14821
0.48485	371.68375
0.49495	372.23236
0.50505	372.78651
0.51515	373.3384
0.52525	373.88026
0.53535	374.40455
0.54545	374.90432
0.55556	375.37337
0.56566	375.80652
0.57576	376.19982
0.58586	376.55068
0.59596	376.85803
0.60606	377.12241
0.61616	377.34597
0.62626	377.53248
0.63636	377.68726
0.64646	377.81708
0.65657	377.92993
0.66667	378.03486
0.67677	378.14166
0.68687	378.26052
0.69697	378.40172
0.70707	378.57519
0.71717	378.79011
0.72727	379.05445
0.73737	379.37455
0.74747	379.75474
0.75758	380.19688
0.76768	380.70008
0.77778	381.26042
0.78788	381.87081
0.79798	382.52094
0.80808	383.1974
0.81818	383.88401
0.82828	384.56235
0.83838	385.21257
0.84848	385.8145
0.85859	386.34908
0.86869	386.80028
0.87879	387.15735
0.88889	387.4177
0.89899	387.59023
0.90909	387.69939
0.91919	387.78989
0.92929	387.93217
0.93939	388.22875
0.94949	388.82145
0.9596	389.89967
0.9697	391.70976
0.9798	394.56551
0.9899	398.86003
1	405.07891
