alpha	T_K
0	324.8569
0.0101	336.80706
0.0202	345.41616
0.0303	351.46191
0.0404	355.58339
0.05051	358.29972
0.06061	360.02688
0.07071	361.09278
0.08081	361.7507
0.09091	362.19137
0.10101	362.55351
0.11111	362.93321
0.12121	363.39218
0.13132	363.96483
0.14142	364.66445
0.15152	365.48852
0.16162	366.42314
0.17172	367.44684
0.18182	368.53366
0.19192	369.65566
0.20202	370.78496
0.21213	371.89527
0.22223	372.96303
0.23233	373.96825
0.24243	374.89496
0.25253	375.73152
0.26263	376.4706
0.27273	377.10906
0.28283	377.64771
0.29294	378.09087
0.30304	378.44591
0.31314	378.72275
0.32324	378.93333
0.33334	379.09097
0.34344	379.20988
0.35354	379.30459
0.36364	379.38946
0.37374	379.47821
0.38385	379.58352
0.39395	379.71666
0.40405	379.88723
0.41415	380.10295
0.42425	380.36945
0.43435	380.69024
0.44445	381.06668
0.45455	381.49801
0.46466	381.98146
0.47476	382.51239
0.48486	383.08452
0.49496	383.69018
0.50506	384.32055
0.51516	384.96599
0.52526	385.6164
0.53536	386.26151
0.54547	386.89121
0.55557	387.49594
0.56567	388.06697
0.57577	388.59669
0.58587	389.07888
0.59597	389.50897
0.60607	389.88418
0.61617	390.20365
0.62628	390.46857
0.63638	390.68212
0.64648	390.84951
0.65658	390.9778
0.66668	391.07576
0.67678	391.1536
0.68688	391.22271
0.69698	391.29529
0.70708	391.3839
0.71719	391.50105
0.72729	391.6587
0.73739	391.86774
0.74749	392.13748
0.75759	392.47513
0.76769	392.88536
0.77779	393.36983
0.78789	393.92685
0.798	394.55115
0.8081	395.23373
0.8182	395.96199
0.8283	396.71989
0.8384	397.48855
0.8485	398.247
0.8586	398.97332
0.8687	399.6462
0.87881	400.24687
0.88891	400.76161
0.89901	401.18479
0.90911	401.52257
0.91921	401.79724
0.92931	402.05246
0.93941	402.35929
0.94951	402.82314
0.95962	403.5919
0.96972	404.86504
0.97982	406.90408
0.98992	410.04434
1	414.70819
