alpha	T_K
0	330.41541
0.0101	344.24074
0.0202	354.04704
0.0303	360.78531
0.0404	365.23565
0.05051	368.03028
0.06061	369.67444
0.07071	370.56502
0.08081	371.00724
0.09091	371.22953
0.10101	371.39662
0.11111	371.62115
0.12121	371.97378
0.13131	372.49201
0.14141	373.1878
0.15152	374.05403
0.16162	375.07008
0.17172	376.20639
0.18182	377.4283
0.19192	378.69916
0.20202	379.98273
0.21212	381.24508
0.22222	382.45602
0.23232	383.59001
0.24242	384.62675
0.25253	385.55151
0.26263	386.35507
0.27273	387.03357
0.28283	387.58813
0.29293	388.02433
0.30303	388.35161
0.31313	388.58261
0.32323	388.73247
0.33333	388.8181
0.34343	388.85747
0.35354	388.86897
0.36364	388.87069
0.37374	388.87994
0.38384	388.91265
0.39394	388.983
0.40404	389.103
0.41414	389.28227
0.42424	389.52781
0.43434	389.84391
0.44444	390.23214
0.45455	390.69139
0.46465	391.218
0.47475	391.80596
0.48485	392.44719
0.49495	393.13183
0.50505	393.84859
0.51515	394.58516
0.52525	395.32861
0.53535	396.06581
0.54545	396.78388
0.55556	397.47059
0.56566	398.11475
0.57576	398.70664
0.58586	399.23827
0.59596	399.70373
0.60606	400.09939
0.61616	400.42405
0.62626	400.67911
0.63636	400.8685
0.64646	400.99871
0.65657	401.07858
0.66667	401.11914
0.67677	401.13327
0.68687	401.13535
0.69697	401.14076
0.70707	401.16544
0.71717	401.22525
0.72727	401.33537
0.73737	401.50967
0.74747	401.76004
0.75758	402.09576
0.76768	402.52285
0.77778	403.04357
0.78788	403.65595
0.79798	404.35342
0.80808	405.1247
0.81818	405.95383
0.82828	406.82044
0.83838	407.70039
0.84848	408.56672
0.85859	409.39102
0.86869	410.14532
0.87879	410.8045
0.88889	411.34931
0.89899	411.77017
0.90909	412.07167
0.91919	412.27801
0.92929	412.43939
0.93939	412.63948
0.94949	413.0041
0.9596	413.71114
0.9697	415.00197
0.9798	417.19432
0.9899	420.69688
1	426.02572
