alpha	T_K
0.0101	338.23434
0.0202	342.06375
0.0303	344.91773
0.0404	347.04211
0.05051	348.63425
0.06061	349.85026
0.07071	350.8114
0.08081	351.60978
0.09091	352.3134
0.10101	352.97051
0.11111	353.61351
0.12121	354.26223
0.13131	354.92682
0.14141	355.6102
0.15152	356.31006
0.16162	357.02064
0.17172	357.73407
0.18182	358.44153
0.19192	359.13412
0.20202	359.80354
0.21212	360.44259
0.22222	361.04546
0.23232	361.60797
0.24242	362.12761
0.25253	362.60357
0.26263	363.03659
0.27273	363.42889
0.28283	363.78391
0.29293	364.10614
0.30303	364.40082
0.31313	364.67378
0.32323	364.9311
0.33333	365.17893
0.34343	365.42327
0.35354	365.66972
0.36364	365.92334
0.37374	366.18852
0.38384	366.4688
0.39394	366.76684
0.40404	367.08434
0.41414	367.42203
0.42424	367.77965
0.43434	368.15604
0.44444	368.54917
0.45455	368.95623
0.46465	369.37378
0.47475	369.79783
0.48485	370.22403
0.49495	370.6478
0.50505	371.06452
0.51515	371.46966
0.52525	371.85899
0.53535	372.22869
0.54545	372.57553
0.55556	372.89698
0.56566	373.19135
0.57576	373.45784
0.58586	373.69664
0.59596	373.90896
0.60606	374.09701
0.61616	374.26402
0.62626	374.41414
0.63636	374.55235
0.64646	374.68436
0.65657	374.8164
0.66667	374.95508
0.67677	375.10715
0.68687	375.27923
0.69697	375.47758
0.70707	375.70781
0.71717	375.97459
0.72727	376.2814
0.73737	376.63021
0.74747	377.02129
0.75758	377.45297
0.76768	377.92149
0.77778	378.42094
0.78788	378.9432
0.79798	379.47809
0.80808	380.01359
0.81818	380.53616
0.82828	381.03138
0.83838	381.48459
0.84848	381.88195
0.85859	382.21163
0.86869	382.46535
0.87879	382.64023
0.88889	382.74102
0.89899	382.78274
0.90909	382.79373
0.91919	382.81925
0.92929	382.92558
0.93939	383.20476
0.94949	383.77991
0.9596	384.81131
0.9697	386.50321
0.9798	389.11149
0.9899	392.95217
1	398.41092
