alpha	T_K
0	336.79635
0.0101	346.06569
0.0202	352.93965
0.03031	357.9662
0.04041	361.59519
0.05051	364.19176
0.06061	366.04835
0.07072	367.3955
0.08082	368.41143
0.09092	369.23063
0.10102	369.95135
0.11113	370.64223
0.12123	371.3481
0.13133	372.09498
0.14143	372.8944
0.15154	373.74707
0.16164	374.64602
0.17174	375.57914
0.18184	376.53136
0.19195	377.48632
0.20205	378.42776
0.21215	379.34051
0.22225	380.21128
0.23235	381.02915
0.24246	381.78586
0.25256	382.47595
0.26266	383.09678
0.27276	383.64833
0.28287	384.13305
0.29297	384.55549
0.30307	384.92205
0.31317	385.24053
0.32328	385.51981
0.33338	385.76938
0.34348	385.99905
0.35358	386.21855
0.36369	386.43719
0.37379	386.66359
0.38389	386.90542
0.39399	387.16923
0.40409	387.46022
0.4142	387.78218
0.4243	388.13743
0.4344	388.52678
0.4445	388.9496
0.45461	389.40384
0.46471	389.8862
0.47481	390.39225
0.48491	390.91661
0.49502	391.45315
0.50512	391.99524
0.51522	392.53596
0.52532	393.06834
0.53543	393.58563
0.54553	394.08152
0.55563	394.55037
0.56573	394.98741
0.57584	395.38895
0.58594	395.7525
0.59604	396.0769
0.60614	396.36245
0.61624	396.61086
0.62635	396.82534
0.63645	397.01048
0.64655	397.17218
0.65665	397.31747
0.66676	397.45438
0.67686	397.5916
0.68696	397.73828
0.69706	397.90366
0.70717	398.09672
0.71727	398.32584
0.72737	398.59835
0.73747	398.9202
0.74758	399.29554
0.75768	399.72639
0.76778	400.21233
0.77788	400.75024
0.78799	401.33419
0.79809	401.95534
0.80819	402.60207
0.81829	403.26023
0.82839	403.91362
0.8385	404.54463
0.8486	405.13527
0.8587	405.66839
0.8688	406.12935
0.87891	406.50803
0.88901	406.80134
0.89911	407.01617
0.90921	407.17299
0.91932	407.30997
0.92942	407.48791
0.93952	407.79577
0.94962	408.35715
0.95973	409.33764
0.96983	410.9531
0.97993	413.47904
0.99003	417.26116
1	422.72709
