alpha	T_K
0	335.48353
0.0101	342.78924
0.0202	348.20521
0.0303	352.17429
0.0404	355.05794
0.05051	357.14763
0.06061	358.67502
0.07071	359.82108
0.08081	360.72424
0.09091	361.48751
0.10101	362.18483
0.11111	362.86655
0.12121	363.56427
0.13131	364.29496
0.14141	365.0645
0.15152	365.8707
0.16162	366.70579
0.17172	367.5585
0.18182	368.41577
0.19192	369.26406
0.20202	370.09037
0.21212	370.88307
0.22222	371.63237
0.23232	372.33069
0.24242	372.97283
0.25253	373.55601
0.26263	374.07977
0.27273	374.54583
0.28283	374.95781
0.29293	375.32098
0.30303	375.64193
0.31313	375.92821
0.32323	376.18801
0.33333	376.42982
0.34343	376.66209
0.35354	376.89296
0.36364	377.12998
0.37374	377.37989
0.38384	377.64839
0.39394	377.94008
0.40404	378.25826
0.41414	378.60493
0.42424	378.98076
0.43434	379.38511
0.44444	379.81609
0.45455	380.27069
0.46465	380.74488
0.47475	381.23378
0.48485	381.73185
0.49495	382.23309
0.50505	382.73126
0.51515	383.2201
0.52525	383.69353
0.53535	384.1459
0.54545	384.5722
0.55556	384.9682
0.56566	385.33068
0.57576	385.65754
0.58586	385.94791
0.59596	386.20226
0.60606	386.42239
0.61616	386.61146
0.62626	386.77392
0.63636	386.91545
0.64646	387.04276
0.65657	387.1635
0.66667	387.28592
0.67677	387.41872
0.68687	387.57065
0.69697	387.75025
0.70707	387.96545
0.71717	388.22323
0.72727	388.52922
0.73737	388.8874
0.74747	389.29966
0.75758	389.76559
0.76768	390.28219
0.77778	390.84371
0.78788	391.44156
0.79798	392.06439
0.80808	392.69827
0.81818	393.32706
0.82828	393.93303
0.83838	394.49766
0.84848	395.00273
0.85859	395.43181
0.86869	395.77202
0.87879	396.01622
0.88889	396.16569
0.89899	396.23329
0.90909	396.24718
0.91919	396.2552
0.92929	396.32987
0.93939	396.5742
0.9495	397.12829
0.9596	398.17677
0.9697	399.95734
0.9798	402.7702
0.9899	406.98868
1	413.07115
